Full Evaluation Report

--- Bin: 0 (No Fire) fire pixels (202 samples) ---
sample_0426.npy: GT=7, AUPRC=0.7948
sample_0941.npy: GT=6, AUPRC=0.7940
sample_0263.npy: GT=42, AUPRC=0.7931
sample_1098.npy: GT=4, AUPRC=0.7929
sample_1511.npy: GT=11, AUPRC=0.7925
sample_0111.npy: GT=3, AUPRC=0.7917
sample_0995.npy: GT=9, AUPRC=0.7894
sample_0532.npy: GT=10, AUPRC=0.7885
sample_0289.npy: GT=10, AUPRC=0.7873
sample_0754.npy: GT=9, AUPRC=0.7869
sample_0297.npy: GT=44, AUPRC=0.7864
sample_0930.npy: GT=10, AUPRC=0.7858
sample_1356.npy: GT=7, AUPRC=0.7853
sample_0935.npy: GT=13, AUPRC=0.7850
sample_0159.npy: GT=8, AUPRC=0.7846
sample_0277.npy: GT=39, AUPRC=0.7828
sample_1541.npy: GT=29, AUPRC=0.7826
sample_0956.npy: GT=17, AUPRC=0.7824
sample_1670.npy: GT=9, AUPRC=0.7815
sample_0740.npy: GT=3, AUPRC=0.7778
sample_1171.npy: GT=3, AUPRC=0.7778
sample_1043.npy: GT=36, AUPRC=0.7758
sample_0085.npy: GT=13, AUPRC=0.7756
sample_0470.npy: GT=16, AUPRC=0.7748
sample_0213.npy: GT=31, AUPRC=0.7747
sample_0224.npy: GT=19, AUPRC=0.7745
sample_0416.npy: GT=48, AUPRC=0.7742
sample_0839.npy: GT=22, AUPRC=0.7719
sample_0721.npy: GT=27, AUPRC=0.7712
sample_0813.npy: GT=4, AUPRC=0.7708
sample_1320.npy: GT=12, AUPRC=0.7686
sample_0478.npy: GT=10, AUPRC=0.7683
sample_0207.npy: GT=12, AUPRC=0.7681
sample_0886.npy: GT=5, AUPRC=0.7644
sample_0738.npy: GT=4, AUPRC=0.7644
sample_0341.npy: GT=5, AUPRC=0.7643
sample_0997.npy: GT=16, AUPRC=0.7600
sample_0911.npy: GT=14, AUPRC=0.7598
sample_0936.npy: GT=18, AUPRC=0.7594
sample_1207.npy: GT=23, AUPRC=0.7592
sample_1322.npy: GT=36, AUPRC=0.7589
sample_1548.npy: GT=25, AUPRC=0.7586
sample_0857.npy: GT=8, AUPRC=0.7577
sample_1550.npy: GT=26, AUPRC=0.7571
sample_0197.npy: GT=3, AUPRC=0.7556
sample_1096.npy: GT=6, AUPRC=0.7552
sample_0430.npy: GT=10, AUPRC=0.7547
sample_0949.npy: GT=13, AUPRC=0.7547
sample_0854.npy: GT=38, AUPRC=0.7522
sample_1681.npy: GT=18, AUPRC=0.7521
sample_1316.npy: GT=7, AUPRC=0.7520
sample_1297.npy: GT=7, AUPRC=0.7512
sample_0166.npy: GT=4, AUPRC=0.7500
sample_0313.npy: GT=2, AUPRC=0.7500
sample_0673.npy: GT=2, AUPRC=0.7500
sample_1228.npy: GT=30, AUPRC=0.7498
sample_0640.npy: GT=23, AUPRC=0.7496
sample_0398.npy: GT=14, AUPRC=0.7491
